temp,time_ms,minutes,temp_corrigida,temp_suavizada
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
38.37,11501,0.19,47.707,47.707
